grid_type|lat|resolution|area
s2|-85|5|16658072.910646066
s2|-85|6|3297062.221336642
s2|-85|7|721728.0598985384
s2|-85|8|168689.0818225945
s2|-85|9|40778.8358398209
s2|-85|10|10025.2242707777
s2|-85|11|2525.1521585594
s2|-85|12|628.6339994884
s2|-85|13|157.4522876951
s2|-85|14|39.3998551803
s2|-85|15|9.854565442
s2|-85|16|2.4629911233
s2|-85|17|0.6156665193
s2|-85|18|0.1539064733
s2|-85|19|0.0384753488
s2|-85|20|0.0096186785
s2|-85|21|0.0024046872
s2|-85|22|0.0006011693
s2|-85|23|0.000150292
s2|-85|24|3.7573e-05
s2|-85|25|9.3932e-06
s2|-85|26|2.3483e-06
s2|-85|27|5.871e-07
s2|-85|28|1.468e-07
s2|-85|29|3.67e-08
s2|-85|30|9.2e-09
s2|-80|4|17036546.803109974
s2|-80|5|3302169.832223585
s2|-80|6|713881.7220463082
s2|-80|7|165876.7019551369
s2|-80|8|42728.5579117172
s2|-80|9|10844.1646040864
s2|-80|10|2685.6243634436
s2|-80|11|673.9274870693
s2|-80|12|168.7981901453
s2|-80|13|42.2391590751
s2|-80|14|10.553551268
s2|-80|15|2.6376084125
s2|-80|16|0.6594794051
s2|-80|17|0.1648795151
s2|-80|18|0.0412183563
s2|-80|19|0.0103047401
s2|-80|20|0.0025762039
s2|-80|21|0.0006440533
s2|-80|22|0.000161013
s2|-80|23|4.02532e-05
s2|-80|24|1.00633e-05
s2|-80|25|2.5158e-06
s2|-80|26|6.29e-07
s2|-80|27|1.572e-07
s2|-80|28|3.93e-08
s2|-80|29|9.8e-09
s2|-80|30|2.5e-09
s2|-75|3|17276037.259269074
s2|-75|4|6428340.142087442
s2|-75|5|1306067.5736643893
s2|-75|6|355650.5064508818
s2|-75|7|84016.9718387629
s2|-75|8|20421.2091143113
s2|-75|9|5034.2041853421
s2|-75|10|1249.7739624399
s2|-75|11|311.3532015059
s2|-75|12|77.9364884244
s2|-75|13|19.4670967018
s2|-75|14|4.8683079021
s2|-75|15|1.217268754
s2|-75|16|0.3042839304
s2|-75|17|0.0760668257
s2|-75|18|0.0190161869
s2|-75|19|0.0047540935
s2|-75|20|0.0011885153
s2|-75|21|0.0002971278
s2|-75|22|7.4282e-05
s2|-75|23|1.85705e-05
s2|-75|24|4.6426e-06
s2|-75|25|1.1607e-06
s2|-75|26|2.902e-07
s2|-75|27|7.25e-08
